Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Analyst (FT) | Business Data & Marketing Analytics,-1,"SUMMARY:
data data data datab dattab dottab dottob is looking for a (jr/.../sr) reporting analyst.

Responsibilities:
Find the truth.
Criss cross-channel reporting.
Explain to clients why things are performing well.
Explain to clients why things are not performing well.
Manage software and some hardware.
Negotiate with pixels.
Be not only able to brew the tea, but also read the tea leaves.
Make recommendations on what to do.
Calm the data down.
Qualifications:
A 4-year degree w/ an emphasis on data analytics, statistics, or mathematics.
Entry-level or newly-grads are okay, but we prefer someone who has familiarity with analytics and digital marketing.
A self-starter with a can-do attitude motivated to be the very best at what they do and don't do.
Excel at Excel.
Heaping amounts of analytical know-how - not anymore and not any less.
Knowledge of how to function GA, GTM, and GTA.
Can capture a Triple Whale, detect the Northbeam, and cast Magicdx spells.
The Deets:
100% Remote.
Hours are in Pacific Time/Los Angeles Time.
Unlimited vacation time.
Dog pix.
Here's a couple of suggestions to get your application noticed:
Surprise us! Do something different.
Attach an interesting JPEG of your favorite fruit and/or vegetable that you took.
You can also attach a JPEG of your dog, it's the same thing.
A compelling resumé + cover letter will probably do.
P.S. This is a legit job. If you are legit interested in this legit job, send me some fun stuff from whatever job board this is posted on or to creative [at] dottob.com with the subject line ""I'M THE BEST ANALYST EVER AND HERE'S WHY..."" Please do not submit a form via our website. That form doesn't go to the hiring team!

P.P.S. Follow us on Instagram and LinkedIn for some hot updates on our work + the latest on dojjobs.
https://www.instagram.com/dottob.jpg
https://www.linkedin.com/company/dottob
SEO KEYWORDS HERE: Reporting Analyst, Data Analyst, Marketing Data Analyst, Marketing Insights, Business Data Analyst, Product Data Analyst, Advertising Data Analyst, eCommerce Data Analyst.

VIRGO SEASON UPDATE: We appreciate the responses we've received for the Analyst role, but due to the overwhelming amount of applications + dog pix, we cannot respond to all you amazing people and provide feedback — sorry! We are hiring on a rolling basis and we'll reach out if we are interested in moving forward with you. Thank you!

ALERT: If you receive an invitation to interview from an email that isn't dottob.com, it is most likely a scam. Someone from an email domain ""dottob.us"" has been impersonating our HR manager.


About dottob:

dottob is a marketing + creative agency focused on creating thumb-stopping content for paid media platforms. Come work with us! Just be fun, hardworking, and have an affinity for dogs. See below for full-time, part-time, or freelance opportunities. Let's goooo. You might be who we are looking for...",5.0,"dottob
5.0",Remote,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Marketing Analyst (REMOTE),-1,"Under Armour has one mission: to make you better. We have a commitment to innovation that lies at the heart of everything we do, not just for our athletes but also for our teammates. As a global organization, our teams around the world push boundaries and think beyond what is expected. Together our teammates are unified by our values and are grounded in our vision to inspire you with performance solutions you never knew you needed but can’t imagine living without.
Position Summary
The Data Analyst, Marketing will be responsible for building + maintaining our marketing dashboards + programming the marketing war room content on a weekly basis. You will serve as the global point of contact for regions playing a critical role in collecting/cleansing + visualizing data from multiple regions + cross functional partners.
Essential Duties & Responsibilities
Publish the weekly marketing dashboard + insights, requiring you to aggregate + visualize key inputs from multiple sources/countries (Omniture, DCM, Sprinklr, Google/FB etc)
Program the content + maintain the digital screens + calendar in the marketing war room
Coordinate and lead read/react regional to global marketing metrics meetings reviewing key data and trends
Partner with cross-functional teams to analyze multiple channel data disciplines and deliver insights that drive business growth.
Assist with preparing and presenting analysis and reporting to business departments and management.
Manage, review, and validate data with database vendors and oversee file transfers between first and 3rd party vendors & ensure all work and procedures follow the most up to date company code of conduct and data management principles.
Partner with external partners and vendors on analysis, data extracts and transfers, validations, analysis, and insights.
Provide ad hoc analysis, competitive information, presentations, status reports and meeting recaps when necessary.
Track develop brand, channel, campaign and customer benchmarks comparing against company wide and industry
Qualifications (Knowledge, Skills & Abilities)
Experience with analytics tools and disciplines (Adobe + GA Analytics, Salesforce)
Experience with visualization techniques (Tableau + Domo + Datorama)
Detail oriented with exceptional organization skills and aptitude for technology
Education And / Or Experience
Bachelor's or Master’s degree in marketing or computer science
At least 4 years of overall work experience with majority of experience in marketing analytics and data visualization
Experience analyzing consumer data and providing insights that drive business results
Other Requirements
Location: Remote
Travel: Less than 10% travel
Relocation
No relocation provided
At Under Armour, we are committed to providing an environment of mutual respect where equal employment opportunities are available to all applicants and teammates without regard to race, color, religion, sex, pregnancy (including childbirth, lactation and related medical conditions), national origin, age, physical and mental disability, marital status, sexual orientation, gender identity, gender expression, genetic information (including characteristics and testing), military and veteran status, and any other characteristic protected by applicable law. Under Armour believes that diversity and inclusion among our teammates is critical to our success as a global company, and we seek to recruit, develop and retain the most talented people from a diverse candidate pool.
Learn more about Under Armour’s COVID-19 response and Teammate vaccination policies here.",3.9,"Under Armour
3.9",Remote,10000+ Employees,1996,Company - Public,Sporting Goods Stores,Retail & Wholesale,$1 to $5 billion (USD)
Data Analyst,-1,"Overview

This is a highly visible and fast-paced role. You will be working closely with various internal teams (analysts, support, developers) and communicating with external customers and 3rd party vendors. To be successful in this role, you will need strong analytical skills, be detailed oriented and organized, communicate effectively, and deliver excellent customer service. The right candidate should take pride in their work and be apt to learn and apply new concepts.
Responsibilities
Work with customers on new/existing BI database implementations
Scope business requirements for new or enhancement integrations, and data validation
Work with various internal teams to fulfill customer needs
Troubleshoot issues
Document, review and validate dataOv
Strong attention to detail with excellent analytical, judgment, and problem-solving capabilities
Prepare analysis in an easily consumable format, appropriate for the audience, with the ability to communicate the narrative behind the data
Performing data quality assurance using MS Excel, and MS SQL Server
Exhibit collaborative attitude, willingness to work with others on data projects
Write and maintain documentation: data dictionary, business glossary, and data lineage
Strong organizational skills with the ability to prioritize and execute tasks across multiple projects in a high-pressure environment
Experience in the hospitality industry (Finance, Revenue Management, F&B, Spa, Group Planning) is a plus",3.8,"myDigitalOffice
3.8",Remote,Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Data and Reporting Analyst (Remote),-1,"Position Purpose

Job title

Data and Reporting Analyst

Reports to

Manager, Reporting and Analytics

Location

East Lansing or Grand Rapids

Range and Grade

FLSA Status

Exempt

DOA

F (Nil)

Company/Department

MiHIN / Product and Service Management

Position Purpose

Data and Reporting Analyst organizes the Reporting/Analytics team activities to ensure work is completed with maximum efficiency and effectiveness. Proactive monitoring and maintenance of support requests with additional opportunities to develop solutions enables the Analyst to alert team members when adjustments must be made to manage competing priorities. Analyst’s process documentation responsibilities offer creative growth and leadership opportunities to help educate the company on how all staff should interact with the reporting/analytics team to achieve optimum results for both their current request and long-term company success.

At MiHIN, we recognize that our diversity is our greatest strength. We draw on the differences in who we are, what we've experienced, and how we think to best serve our stakeholders and our communities. Because our family of companies serve everyone, we believe in including everyone. This means we strive to hire the most talented and qualified employees that are diverse in thinking and by race, gender, gender identity, gender expression, age, religion, sexual orientation, physical abilities, and socio-economic upbringing.
Duties and responsibilities

Assist with the completion of foundational organizational reports using basic technical principles. Examples include: network data flow metrics and conformance reports
Develop solutions to routine technical problems regarding foundational organizational reports
Assign tickets in reporting queue based documented process and communicate updates to requestors regarding ticket status
Update process documentation as changes are identified and complete review with appropriate intermediate and senior staff
Ensure that Information MiHIN produces, maintains, stores, or transmits remains secure through adherence to MiHIN's Security Policies and Procedures

Qualifications

Required Qualifications

Bachelor’s degree in statistics or related field
0-2 years of related experience
Knowledge of and experience with SQL (Structure Query Language)
Attention to detail
Resiliency

Preferred Qualifications:

Experience with reporting and visualization tools services (Tableau, Power BI, SSRS, Crystal Reports)
Experience developing relational databases (Sql Server, MySql, MariaDB)
Demonstrated ability to create visualizations for reports based on specific business requirements from another party and ability to incorporate constructive criticism

Direct reports

May supervise an intern",2.5,"Michigan Health Information Network
2.5",Remote,201 to 500 Employees,2010,Nonprofit Organization,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Data Analyst (Remote),Employer Provided Salary:$130K,"Candidates can be located in any of the below states:
AK, AZ, CA, GA, HI, ID, IL, KS, KY, ME, MA, MI, MN, MT, NE, NV, NH, NJ, NM, NY, ND, OH, OR, RI, SD, TX, UT, VT, WA, WV, WI, WY.

Position Purpose:
A Data Analyst Supply Chain leverages technical abilities to synthesize complex analytical tasks into easily understood data-driven stories. Responsible for working collaboratively with other analysts to apply established analytical processes on diverse datasets to deduce insights and solve real-world business problems. Also ensures that all reporting and analytical responsibilities are completed competently in a timely manner, continually seeking out opportunities to hone existing technical skills (e.g. writing SQL/code, statistics, machine learning, etc.) and learn new skills. Operates under the supervision and mentorship of more experienced managers and data scientists.

Major Tasks, Responsibilities & Key Accountabilities:
30%-Executes existing reporting and analytical responsibilities


20%-Leverages data analytics tools to create new dashboards, reports, and any additional ad-hoc requests


20%-Ensures the quality of work output by displaying a keen attention to detail


20%-Develops additional technical competencies and subject matter expertise within core functional group


10%-Presents findings in easily understood ways, focuses on how the data analytics fits into the bigger picture

Nature and Scope:
This postion reports to Manager
This position has no Direct Reports

Environmental Job Requirements:
Environment:
1. Located in a comfortable indoor area. Any unpleasant conditions would be infrequent and not objectionable.
Travel:
Typically requires overnight travel less than 10% of the time.

Additional Environmental Job Requirements:


Standard Minimum Qualifications:
Must be eighteen years of age or older.
Must be legally permitted to work in the United States.

Additional Minimum Qualifications:



Education Required:
The knowledge, skills and abilities typically acquired through the completion of a bachelor's degree program or equivalent degree in a field of study related to the job.

Years of Relevant Work Experience:
0 years

Certifications & Licenses:



Physical Requirements:
Most of the time is spent sitting in a comfortable position and there is frequent opportunity to move about. On rare occasions there may be a need to move or lift light articles.

Additional Qualifications:
B.S. in Computer Science, Math, Engineering, Finance or related quantitative field

Preferred Qualifications:
Work experience with SQL Server, Teradata, Oracle, or comparable database systems


1-3 years work experience in data mining, statistical analysis, auditing, and/or forecasting.


Prior direct experience in analyzing the relevant subject matter (e.g. Supply Chain, Merchandising, Operations, etc.)

Knowledge, Skills, Abilities and Competencies:
Critical thinking skills to identify the strengths and weaknesses of alternative solutions; ability to understand and foresee implications of new information for current and future problems solving.


An unquenchable intellectual curiosity for getting at the underlying story being told within the data.


Strong written and verbal communications skills. Ability to persuade, inform, and influence others based on findings. A track record of taking complex results and communicating them in an easily understood way.


Superior interpersonal skills and ability to collaborate actively and work in a team environment.


Ability to quickly learn and adapt to new technologies, tools, and techniques.",3.8,"Home Depot / THD
3.8","Atlanta, GA",10000+ Employees,1978,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale,$10+ billion (USD)
Senior Data Analyst,Employer Provided Salary:$110K - $125K,"Senior Data Analyst- (100% Remote)
$110K-$125K
Benefits (Full-Time, W2 Employees – at least 30 hours per week):
Medical, Dental, and Vision offerings
Weekly Direct Deposit
Paid Holidays and Personal Time Off
401(k) with match
Voluntary Life and AD&D, Short / Long Term Disability, plus other voluntary coverages
Pre-Paid Legal and Employee Assistance Programs
Northwest Federal Credit Union Membership
BB&T @ Work Program
JOB DESCRIPTION
Join our team of data dynamos supporting CDO offices in the federal space. The candidate will analyze data-centric applications and data flows in order to recommend a course of action for migrating legacy applications.
Responsibilities
Provide strategic direction and technical expertise for enterprise data migration solutions.
Analyze applications and data flows for legacy enterprise systems
Recommend new features and improvements to enhance enterprise data standards awareness, dissemination, end user comprehension, and collaboration.
Document detailed data mappings and prescriptive guidance to help end users understand enterprise data assets and their relationship dependencies.
Present abstractions of complex data architectures to mixed audiences to help promotion and adoption of new data governance practices.
Document data quality metrics, data definitions, and data governance standard operating procedures.
QUALIFICATIONS
Required Skillset:
Active Public Trust or ability to obtain a Public Trust security clearance.
US Citizenship required.
Bachelor's degree in Computer Science, Information Systems, or a related field is required.
Or 4 years of experience in a related field.
Minimum of 8 years of experience working in data architecture, data engineering, data analysis, or data migration.
Experience in data migration methodologies and best practices on hybrid platforms.
Experience analyzing applications and data flows.
Experience collaborating with subject matter experts and project teams to identify, define, collate, document, and communicate data migration requirements.
Experience working on an Agile team
Desired Skillset:
Bachelor's degree in Computer Science, Information Systems, or a related field is required.
Experience with a cloud computing platform such as AWS or Azure
ABBTECH is an EOE/Minorities/Women/Disabled Individuals/Veterans
Job Type: Full-time
Pay: $110,000.00 - $125,000.00 per year
Benefits:
401(k)
Dental insurance
Health insurance
Paid time off
Vision insurance
Schedule:
8 hour shift
Work Location: Remote",4.0,"ABBTECH Professional Resources
4.0",Remote,201 to 500 Employees,1992,Company - Private,HR Consulting,Human Resources & Staffing,$5 to $25 million (USD)
Financial Data Analyst,Employer Provided Salary:$120K - $130K,"Our Client is looking for a Data Support Sr Analyst with experience in Prime Brokerage, Collateral Operations or a control function is a plus. Advanced Excel/VBA skills and preferably SQL or Python skills to build and maintain tools to simplify and improve processes, and eliminate manual / repetitive tasks.
New York City - On-site
This position is at the nexus of the areas of responsibility of QS Risk Operations, facing off to the Business , Risk Managers, Collateral Operations and the Technology groups and well-placed to define and implement effective solutions and manage remediation of data issues. Risk Operations is part of the wider Quantitative Services & Reconciliations team – an organization that also focuses on optimization and automation opportunities across the bank’s processes.
Experience in Prime Brokerage, Collateral Operations or a control function is a plus. Advanced Excel/VBA skills and preferably SQL or Python skills to build and maintain tools to simplify and improve processes, and eliminate manual / repetitive tasks.
Required Skills: (Must have these skills to be minimally qualified)
Excellent communication, analytical skills & attention to detail.
Ability to work under pressure in a team environment which is spread across different geographical locations.
Ability to liaise and work with all levels of the firm and people with different experiences and backgrounds.
Self-motivated and having a problem-solving mindset.
Degree in Computer Science, Finance or a Quantitative field.
Broad knowledge in financial products and Risk management (VaR, Greeks, stress testing).
Experience in Prime Brokerage, Collateral Operations or a control function is a plus.
Advanced Excel/VBA skills and preferably SQL or Python skills to build and maintain tools to simplify and improve processes and eliminate manual / repetitive tasks.
Job Type: Full-time
Pay: $120,000.00 - $130,000.00 per year
Benefits:
Health insurance
Schedule:
8 hour shift
Ability to commute/relocate:
New York, NY: Reliably commute or planning to relocate before starting work (Required)
Experience:
Data management: 5 years (Required)
Brokerage: 5 years (Required)
Var: 5 years (Required)
Greek: 5 years (Required)
SQL: 5 years (Required)
Python: 5 years (Required)
Work Location: One location",3.4,"NextGen Information Services
3.4","New York, NY",Unknown,1997,Company - Private,Staffing & Subcontracting,Human Resources & Staffing,Unknown / Non-Applicable
Analytics Analyst,Employer Provided Salary:$100K - $115K,"Oversee the propriety dashboard, including the implementations for each client, as well as ongoing analytics support surrounding acquisition, retention, and revenue.
Analyze client marketing campaigns across all platforms and channels, helping to drive KPI's.
Communicate insights on platform users and provide actionable recommendations in alignment with customer growth goals.
Work closely with third party data partners, and clients to construct dashboards.

MPI does not discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity or expression, national origin, age, disability, veteran status, marital status, or based on an individual's status in any group or class protected by applicable federal, state or local law. MPI encourages applications from minorities, women, the disabled, protected veterans and all other qualified applicants.
4+ years of experience in data/analytics.
Experience in a digital role is preferred.
Experience working with acquisition and retention data.
Strong visualization skills.
Knowledge of marketing analytics and project management.
Excellent communication skills.
Our client is a global leader in sports, entertainment and fashion operating globally. They specialize in talent representation, brand strategy, media sales, and event management.
Competitive base salary, commensurate with experience.
Hybrid structure of 2 days in office, 3 days remote.
401K.
Medical/Dental/Vision.
Generous PTO.",4.2,"Michael Page
4.2","New York, NY",201 to 500 Employees,-1,Company - Private,Security & Protective,Management & Consulting,Unknown / Non-Applicable
2023 Data Science/Analyst Recent Grad Positions – Cat Digital,Employer Provided Salary:$85K,"Career Area:
Information Analytics
Job Description:
As a Data Science/Analyst Professional at Caterpillar, you may work on locating and obtaining data from various internal and external sources; collecting Critical Customer Requirements; applying associated digital technologies; communicating with internal customers, team members, and stake holders; answering routine requests for information; and providing support to the teams on which you serve.
Additional areas of responsibility may include data collection and analysis; development, validation, application, and refinement of statistical models; application of related digital technologies in processing both the inputs and outputs from the models.
Opportunities may include rotations into other teams to expand learning and skill building.
With almost one million connected assets worldwide, we're focused on using IoT and other data, technology, advanced analytics and AI capabilities to help our customers build a better world. Caterpillar uses quantitative methods such as business simulations, data mining, and advanced statistical techniques to solve problems for internal and external customers. You may use data analysis, data management, and/or data visualization skills as an individual contributor to project teams tasked with solving business problems. Opportunities may include rotations into other teams to expand learning and skill building.
Cat Digital is the digital and technology arm of Caterpillar, the world’s leading manufacturer of construction and mining equipment, diesel and natural gas engines, industrial gas turbines and diesel-electric locomotives.

Cat Digital is leading our industry with the utilization of data, analytics, innovation, digital channels and techniques to drive profit, create more efficient revenue growth, unlock new revenue streams, and provide more durable competitive advantages for the business through unexpectedly great experiences for our customers.
Basic qualifications:
Currently attending or recently graduated from a 4-year accredited university/college with a minimum bachelor’s degree in data science, data analytics, statistics, economics, mathematics, or related program
Minimum cumulative GPA requirement 3.0/ 4.0 (no rounding)
Graduation date between August 2022 through June 2023
Must be able/willing to relocate to work location
Top candidate will also have:
IoT, eCommerce, or Revenue Growth analytics experience
Strong technical & problem-solving skills with accuracy & attention to detail
Experience building and training machine learning analytics models including deep learning techniques
Experience analyzing time series data files in HDF, netCDF, Parquet, Avro, or other big data file formats
Experience with AWS boto3, S3, EC2, SQS, Fargate, etc.
Passion for technology and an eagerness to contribute to a team-oriented environment
Applied math, numerical techniques & modeling experience
Database structures such as SQL, NoSQL, Snowflake, Django, MongoDB, etc.
Experience visualizing solutions using tools such as Tableau or Power BI
Top candidates will have GPA 3.5 or higher
Minimum starting salary: $85,000 annually
Benefits:
Medical, dental and vision coverage
Paid time off plan (Vacation, Holiday, Volunteer, Etc.)
401k savings plan
Health savings account (HSA)
Flexible spending accounts (FSAs)
Short and long-term disability coverage
Life Insurance
Paid parental leave
Healthy Lifestyle Programs
Employee Assistance Programs
Voluntary Benefits (Ex. Accident, Identity Theft Protection)
Relocation benefits, based on qualifications
Relocation is available for this position.Visa sponsorship available for eligible applicants.
EEO/AA Employer. All qualified individuals - Including minorities, females, veterans and individuals with disabilities - are encouraged to apply.
Not ready to apply? Submit your information to our Talent Network here .",4.0,"Caterpillar
4.0","Westminster, CO",10000+ Employees,1925,Company - Public,Machinery Manufacturing,Manufacturing,$10+ billion (USD)
Actuarial Analyst - Full-Time 1,Employer Provided Salary:$64K,"The world isn’t standing still, and neither is Allstate. We’re moving quickly, looking across our businesses and brands and taking bold steps to better serve customers’ evolving needs. That’s why now is an exciting time to join our team. You’ll have opportunities to take risks, challenge the status quo and shape the future for the greater good.

You’ll do all this in an environment of excellence and the highest ethical standards – a place where values such as integrity, inclusive diversity and accountability are paramount. We empower every employee to lead, drive change and give back where they work and live. Our people are our greatest strength, and we work as one team in service of our customers and communities.

Plus, Allstate is changing how, when, and where we work-to lead us boldly into our future. We're empowering our employees to create better ways of working through more intentional use of communication and collaboration practices, processes and tools.

Everything we do at Allstate is driven by a shared purpose: to protect people from life’s uncertainties so they can realize their hopes and dreams. For more than 89 years we’ve thrived by staying a step ahead of whatever’s coming next – to give customers peace of mind no matter what changes they face. We acted with conviction to advocate for seat belts, air bags and graduated driving laws. We help give survivors of domestic violence a voice through financial empowerment. We’ve been an industry leader in pricing sophistication, telematics, digital photo claims and, more recently, device and identity protection. We are the Good Hands. We don’t follow the trends. We set them.

Job Description

Be innovative. Be a leader. Most importantly – be your analytical, actuarial, awesome self.

Allstate is looking for more analytical leaders, subject matter experts who can drive decisions as Allstate transforms and evolves into the future. We are looking for soon-to-be college graduates to join our Pricing, Analytics and Actuarial Services team! This position will be either Home Based or Hybrid within our offices in either Northbrook (IL), Chicago (IL), or Chandler (AZ).

The actuarial analyst is responsible for executing projects in support of pricing insurance business utilizing accepted actuarial standards, methodologies, and knowledge gained through on the job training. They work closely with their analytics management and key business partners to execute appropriate pricing, modeling and product strategies to support business goals.
Key Responsibilities:

Uses best practices, with significant coaching, to review and analyze business data using traditional actuarial, statistical and/or predictive modeling techniques to provide insights and meet business needs
With significant coaching, reviews and ensures quality of data used to perform actuarial and statistical services within multiple tools/applications
Communicates analysis results to management and non-technical users, making recommendations and providing support for assumptions and methodologies
Develops understanding of insurance business, products, and regulatory environments
Job Qualifications

December 2022/ June 2023 Bachelor’s or Master's Degree candidates, preferably in related field of study such as actuarial science, math/applied math, or statistics/applied statistics
Successful completion of one or more actuarial exams preferred, but not required
Prior actuarial internship preferred, but not required.
Basic knowledge in the use and ability to learn a wide variety of tools, data sources and computer applications.
Can analyze data and review analysis from others and identify and resolve basic data issues
Strong written and verbal communication skills. High level organizational and project management skills in order to handle multiple concurrent assignments in a timely manner.
Strong decision-making skills
Work effectively in a team environment

A copy of your unofficial transcript is required for consideration. Please upload a copy of your unofficial transcript under the supporting documents section of your application.
Compensation Data

The starting salary for this role is $64,200. The salary offered is based on qualifications and experience.
The candidate(s) offered this position will be required to submit to a background investigation, which includes a drug screen.

Good Work. Good Life. Good Hands®.

As a Fortune 100 company and industry leader, we provide a competitive salary – but that’s just the beginning. Our Total Rewards package also offers benefits like tuition assistance, medical and dental insurance, as well as a robust pension and 401(k). Plus, you’ll have access to a wide variety of programs to help you balance your work and personal life - including a generous paid time off policy. For a full description of Allstate’s benefits, visit allstate.jobs/benefits

Learn more about life at Allstate. Connect with us on Twitter, Facebook, Instagram and LinkedIn or watch a video.

Allstate generally does not sponsor individuals for employment-based visas for this position.

Effective July 1, 2014, under Indiana House Enrolled Act (HEA) 1242, it is against public policy of the State of Indiana and a discriminatory practice for an employer to discriminate against a prospective employee on the basis of status as a veteran by refusing to employ an applicant on the basis that they are a veteran of the armed forces of the United States, a member of the Indiana National Guard or a member of a reserve component.

For jobs in San Francisco, please click “here” for information regarding the San Francisco Fair Chance Ordinance.
For jobs in Los Angeles, please click “here” for information regarding the Los Angeles Fair Chance Initiative for Hiring Ordinance.

To view the “EEO is the Law” poster click “here”. This poster provides information concerning the laws and procedures for filing complaints of violations of the laws with the Office of Federal Contract Compliance Programs

To view the FMLA poster, click “here”. This poster summarizing the major provisions of the Family and Medical Leave Act (FMLA) and telling employees how to file a complaint.

It is the Company’s policy to employ the best qualified individuals available for all jobs. Therefore, any discriminatory action taken on account of an employee’s ancestry, age, color, disability, genetic information, gender, gender identity, gender expression, sexual and reproductive health decision, marital status, medical condition, military or veteran status, national origin, race (include traits historically associated with race, including, but not limited to, hair texture and protective hairstyles), religion (including religious dress), sex, or sexual orientation that adversely affects an employee's terms or conditions of employment is prohibited. This policy applies to all aspects of the employment relationship, including, but not limited to, hiring, training, salary administration, promotion, job assignment, benefits, discipline, and separation of employment.",3.5,"Allstate
3.5",Remote,10000+ Employees,1931,Company - Public,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD)
Business Intelligence Analyst,-1,"Grammarly is excited to offer a remote-first hybrid working model, which combines the flexibility of working from home with the benefits of gathering in person. Team members can work primarily remotely in the United States, Canada, Ukraine, Germany, Poland, and Portugal. Conditions permitting, teams will meet in person a few times every quarter at one of Grammarly's hubs, currently in San Francisco, Kyiv, New York, Vancouver, and Berlin, or in a shared workspace in Krakow.
Grammarly team members in this role must be based in the United States or Canada.
The opportunity
Grammarly empowers people to thrive and connect, whenever and wherever they communicate. Every day, over 30 million people and 50,000 teams around the world rely on our AI-powered communication assistance technology. All of this begins with our team collaborating in a values-driven and learning-oriented environment.
To achieve our ambitious goals, we’re looking for experienced Business Intelligence Analysts to enable Grammarly to make better, faster business decisions using data. This function within the broader Data team at Grammarly will focus on building the next-generation Business Intelligence stack, fostering a data-driven culture in the entire organization, and empowering decision-makers at all levels of the company with a single source of truth.
BI analysts will work closely with the product, marketing, and business stakeholders, the Data Engineering team, and other Analytics professionals to develop scalable BI solutions for the company. Read more about our stack or hear from our team on our technical blog.
Your impact
As a Business Intelligence Analyst, you will:
Work with various product and business stakeholders to develop scalable BI reporting solutions.
Work with the Data Engineering team to provide high-quality data requirements and leverage underlying data foundation to build solid data ETL pipelines.
Contribute to the strategy of the Product and Growth teams.
Identify new opportunities for the use of data for all functions across Grammarly.
Provide data-driven solutions to enable teams across the company.
We’re looking for someone who
Embodies our EAGER values—is ethical, adaptable, gritty, empathetic, and remarkable.
Is able to collaborate in person 2–4 weeks per quarter, traveling if necessary to the hub where the team is based.
Has strong data ETL pipeline development and data visualization experience.
Preferably has 5 years of working experience as a Business Analyst, Data Analyst, or similar role and holds a master’s degree in a quantitative field.
Has strong analytical and critical thinking skills, and a strong bias toward actionable insights.
Has a passion for communicating insights through the language of data.
Support for you, professionally and personally
Professional growth: We hire people we trustgive team members autonomy to do their best work. We also support professional development with training, coaching, and regular feedback.
A connected team: Grammarly builds a product that helps people connect, and we apply this mindset to our own team. We have a highly collaborative culture supported by our EAGER values. We also take time to celebrate our colleagues and accomplishments with global, local, and team-specific events and programs.
Comprehensive benefits: Grammarly offers all team members competitive pay along with a benefits package encompassing superior health care (including mental health benefits). We also offer support to set up a home office, ample and defined time off, gym and recreation stipends, 401(k) matching, and more.
We encourage you to apply
At Grammarly, we value our differences, and we encourage all—especially those whose identities are traditionally underrepresented in tech organizations—to apply. We do not discriminate on the basis of race, religion, color, gender expression or identity, sexual orientation, national origin, citizenship, age, marital status, veteran status, disability status, or any other characteristic protected by law. Grammarly will consider qualified applicants with criminal histories in a manner consistent with applicable law. Grammarly is an equal opportunity employer and a participant in the US Federal E-Verify program.
Grammarly currently supports the long-term work of team members in the following US states: Arizona, California, Colorado, Florida, Georgia, Illinois, Maine, Massachusetts, Minnesota, Nevada, New Jersey, New York, North Carolina, Oregon, Pennsylvania (Kennett Township, New London Township, Pittsburgh City, Shaler Township), South Carolina, Texas, Utah, Virginia, and Washington, as well as the District of Columbia
Grammarly currently supports the long-term work of team members in the following Canadian provinces: British Columbia, Ontario
Please note that Grammarly’s COVID-19 vaccination policy requires that all team members in North America be vaccinated against COVID-19 to meet in person for Grammarly business or to work from a North America hub location. It is expected that this will be a requirement for this role. Qualified candidates in North America who cannot be vaccinated for medical reasons or because of a sincerely held religious belief may request a reasonable accommodation to this policy. For Europe, this policy requires team members to be vaccinated or produce a daily negative COVID-19 test administered on-site to work from the hub or attend in-person meetings.
#LI-Hybrid",4.6,"Grammarly, Inc.
4.6",Remote,501 to 1000 Employees,2009,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
