Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Sr Associate Data Scientist (REMOTE),$92K - $131K (Glassdoor est.),"Who Are We?
Taking care of our customers, our communities and each other. That’s the Travelers Promise. By honoring this commitment, we have maintained our reputation as one of the best property casualty insurers in the industry for over 160 years. Join us to discover a culture that is rooted in innovation and thrives on collaboration. Imagine loving what you do and where you do it.
Compensation Overview
The annual base salary range provided for this position is a nationwide market range and represents a broad range of salaries for this role across the country. The actual salary for this position will be determined by a number of factors, including the scope, complexity and location of the role; the skills, education, training, credentials and experience of the candidate; and other conditions of employment. As part of our comprehensive compensation and benefits program, employees are also eligible for performance-based cash incentive awards.
$96,800.00 - $159,700.00
1
Travelers Data Scientists are taking the organization to the next level of intelligence by using advanced statistical techniques and machine learning algorithms. As Sr. Associate Data Scientist, you will analyze large, complex data sources to generate actionable insights and solutions that will enhance our customer experience. You will work with business partners to develop an understanding of business needs and opportunities for data analysis and experiments. Leverage your expanding technical and business knowledge to build models that solve key business problems.
This position may be based 100% remotely or in one of our offices. #LIRemote #LIHybrid




0",3.9,"The Travelers Companies, Inc.
3.9","Hartford, CT",-1,10000+ Employees,1853,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),-1
"Data Scientist, Engineering Analytics",$92K - $131K (Glassdoor est.),"United States, Georgia, Atlanta
TechOps
09-Aug-2022
Ref #: 16203",4.3,"Delta
4.3","Atlanta, GA",-1,10000+ Employees,1928,Company - Public,"Airlines, Airports & Air Transportation",Transportation & Logistics,$10+ billion (USD),-1
"Lead Data Scientist, Marketing & Online (Remote)",$92K - $131K (Glassdoor est.),"Position Purpose:
The Lead Data Scientist is responsible for leading data science initiatives that drive business profitability, increased efficiencies and improved customer experience. This role assists in the development of the Home Depot advanced analytics infrastructure that informs decision making by applying expertise of both business and Advanced Analytics Modeling techniques. Lead Data Scientists focus on seeking out business opportunities to leverage data science as a competitive advantage. Based on the specific data science team, this role has expertise in one or more data science specializations, such as optimization, computer vision, recommendation, search or NLP.


As a Lead Data Scientist, you will be responsible for large data science projects, identifying opportunities to leverage best technology and approach, and mentoring data scientists on the project team. This role is expected to own the library of reusable algorithms for future use, ensuring developed codes are documented. This role supports the building of skilled and talented data science teams by providing input to staffing needs and participating in the recruiting and hiring process. In addition, this role leads data science communities across several business units.




This position typically reports to manager or above
This position has 0 Direct Reports and leads/manages projects



1. Located in a comfortable indoor area. Any unpleasant conditions would be infrequent and not objectionable.

Typically requires overnight travel less than 10% of the time.




















$240,000 - $120,000",3.8,"The Home Depot
3.8","Atlanta, GA",-1,10000+ Employees,1978,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale,$10+ billion (USD),-1
"Senior Data Scientist, Marketing & Online (Remote)",$92K - $131K (Glassdoor est.),"Position Purpose:
The Sr. Data Scientist is responsible for leading data science initiatives that drive business profitability, increased efficiencies and improved customer experience. This role assists in the development of the Home Depot advanced analytics infrastructure that informs decision making. Sr. Data Scientists are expected to seek out business opportunities to leverage data science as a competitive advantage. Based on the specific data science team, this role would need to be Proficient in one or more data science specializations, such as optimization, computer vision, recommendation, search or NLP.


As a Sr. Data Scientist, you will serve as a lead on data science projects, collaborating with project/product managers, providing prioritization of tasks, balancing workload and mentoring data scientists on the project team. This role is expected to present insights and recommendations to leaders and business partners and explain the benefits and impacts of the recommended solutions. This role supports the building of skilled and talented data science teams by providing input to staffing needs and participating in the recruiting and hiring process. In addition, Data Scientists collaborate with business partners and cross-functional teams, requiring effective communication skills, building relationships and partnerships, and leveraging business proficiency to solutions and recommendations.




This position reports to manager or above
This position has 0 Direct Reports



1. Located in a comfortable indoor area. Any unpleasant conditions would be infrequent and not objectionable.

Typically requires overnight travel less than 10% of the time.

























$190,000 - $90,000",3.8,"The Home Depot
3.8","Atlanta, GA",-1,10000+ Employees,1978,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale,$10+ billion (USD),-1
Principal Data Scientist I,$92K - $131K (Glassdoor est.),"JOB SUMMARY
Responsible for leading the development of data-driven solutions to Charter’s business problems. Utilizes analytical, statistical, and programming skills to clean, aggregate, and analyze large data sets and interpret results. This position requires a strong command of statistical techniques and machine learning algorithms, as well as a demonstrated practical ability to determine where to invest time, synthesize actionable findings across diverse assignments, and present findings to audiences with diverse agendas and varying levels of technical expertise.

This position is eligible to work in a hybrid work model (combination of in-office and remote days)

MAJOR DUTIES AND RESPONSIBILITIES
Actively and consistently support all efforts to simplify and enhance the customer experience




Bachelor's degree in computer science, statistics, operations research and/or equivalent combination of education and experience.


Data manipulation and statistical modeling as a Scientist, Consultant,
8 years of Architect, DBA, or Engineer
8 years of SQL/R/SAS Programming
Lead the design, develop and deployment
3+ years of machine learning and analytics models




Master’s degree in related field


Office environment
Charter Technical Engineering Center
Highly collaborative and innovative work space
Occasional Travel BDA630 314944 314944BR

Here, employees don’t just have jobs, they build careers. That’s why we believe in offering a comprehensive pay and benefits package that rewards employees for their contributions to our success, supports all aspects of their well-being, and delivers real value at every stage of life.

The pay for this position has a salary range of . The actual salary offer will carefully consider a wide range of factors, including your skills, qualifications, experience and location. Also, certain positions are eligible for additional forms of compensation such as bonuses.",3.3,"SPECTRUM
3.3","Greenwood Village, CO",-1,10000+ Employees,2016,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD),-1
Data Scientist – Machine Learning Modeler,$92K - $131K (Glassdoor est.),"Overview

Guidehouse is a leading global provider of consulting services to the public sector and commercial markets, with broad capabilities in management, technology, and risk consulting. By combining our public and private sector expertise, we help clients address their most complex challenges and navigate significant regulatory pressures focusing on transformational change, business resiliency, and technology-driven innovation. Across a range of advisory, consulting, outsourcing, and digital services, we create scalable, innovative solutions that help our clients outwit complexity and position them for future growth and success. The company has more than 12,000 professionals in over 50 locations globally. Guidehouse is a Veritas Capital portfolio company, led by seasoned professionals with proven and diverse expertise in traditional and emerging technologies, markets, and agenda-setting issues driving national and global economies. For more information, please visit www.guidehouse.com.",3.7,"Guidehouse
3.7","Washington Harbor, WA",-1,1001 to 5000 Employees,2018,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable,-1
"Senior Data Scientist, Computer Vision",$92K - $131K (Glassdoor est.),"As an EEO/Affirmative Action Employer, all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, age, national origin, disability, or veteran status.

Job Summary
The Enterprise Analytics & Data Management (EADM) team is part of the Waste Management’s Digital organization. Our mission is to accelerate business growth and drive operational efficiencies by extracting insights from data, predicting business outcomes, and embedding intelligence into business processes. As a member of EADM you will deliver insights and solutions across the organization in areas such as routing, logistics, revenue management, customer experience, people analytics, business operations, and more.",3.6,"WM
3.6","Houston, TX",-1,10000+ Employees,1971,Company - Public,Building & Personnel Services,Management & Consulting,$10+ billion (USD),-1
Machine Learning Engineer,$92K - $131K (Glassdoor est.),"Manifold Valley is a machine learning research startup focused on data production for 3d games and virtual film production. Currently seeking dynamic, driven, talented and highly creative machine learning engineers to join us as our ongoing effort grows.
If you are looking for a position that utilizes attention based networks, reinforcement learning and integration with 3d graphics, game engineering and physical input device development, this is the creative place for you.
This is an in-person position in downtown Los Angeles.
Job Type: Full-time
Pay: $148,294.00 - $158,965.00 per year",-1,Manifold Valley,"Los Angeles, CA",-1,-1,-1,-1,-1,-1,-1,-1
"Data Scientist, Audience Data Science - Marketing Analytics",$92K - $131K (Glassdoor est.),"JOB SUMMARY: Design, develop and evaluate advanced predictive and machine learning models with a focus on the personalization and optimization of audience first, marketing tactics. Analyze and extract relevant information about guest behaviors and preferences from both structured and unstructured data to better understand marketing opportunities. Conduct advanced analysis on various marketing efforts to gauge performance, impact and effectiveness against the desired results. Responsible for building efficient and scalable automated data processes that prep and standardize various data sources in support of personalization. Delivers accurate, clear, concise insights and visualizations leveraging predictive results that inform and inspire internal stakeholders to make better business decisions.
MAJOR RESPONSIBILITIES:
Mine data to detect patterns, opportunities and insights via advanced analytical techniques to drive Personalization and Audience Strategy.",4.0,"Universal Orlando
4.0","Orlando, FL",-1,10000+ Employees,1987,Subsidiary or Business Segment,Hotels & Resorts,Hotels & Travel Accommodation,$1 to $5 billion (USD),-1
"Senior Data Scientist, Engineering Analytics",$92K - $131K (Glassdoor est.),"United States, Georgia, Atlanta
TechOps
09-Aug-2022
Ref #: 16202",4.3,"Delta
4.3","Atlanta, GA",-1,10000+ Employees,1928,Company - Public,"Airlines, Airports & Air Transportation",Transportation & Logistics,$10+ billion (USD),-1
Data Scientist,$92K - $131K (Glassdoor est.),"Automobile company is looking for a Data Scientist with 6+ years of product development and data science. Office is located in the O.C area.
Responsibilities:
· Develop, evaluate, refine, and automate analytic models using data to address business needs, and identify areas of optimization and growth
· Participate in technical design, project planning and lead development of critical projects
· Design, conduct and lead complex analyses that mine, extract, track, report and analyze performance metrics
· Demonstrate best practices by delivering high quality results to business",-1,Staffing By Sabri,"Costa Mesa, CA",-1,-1,-1,-1,-1,-1,-1,-1
Computer Vision / AI Data Scientist,$92K - $131K (Glassdoor est.),"About care.ai
care.ai is the leading provider of a transformative AI platform for the healthcare industry to develop it into Smart facilities. Our team brings bold and innovative ideas combined with technology and healthcare expertise while making a genuine human impact for our clients, their patients and workforce.
Job Summary
The AI Engineer develops, evaluates and optimizes computer vision and deep learning models for various applications. In addition, the AI Engineer works with peers to drive solutions to meet product and technology requirements.
Experience Requirements",-1,care.ai,Remote,-1,-1,-1,-1,-1,-1,-1,-1
"Distinguished Engineer, Data Strategy (Remote Eligible)",$97K - $155K (Glassdoor est.),"Locations: VA - McLean, United States of America, McLean, Virginia
Distinguished Engineer, Data Strategy (Remote Eligible)
Distinguished Engineers are individual contributors who strive to be diverse in thought so we visualize the problem space. At Capital One, we believe diversity of thought strengthens our ability to influence, collaborate and provide the most innovative solutions across organizational boundaries. Distinguished Engineers will significantly impact our trajectory and devise clear roadmaps to deliver next generation technology solutions.
Deep technical experts and thought leaders that help accelerate adoption of the very best engineering practices, while maintaining knowledge on industry innovations, trends and practices
Visionaries, collaborating on Capital One’s toughest issues, to deliver on business needs that directly impact the lives of our customers and associates






No agencies please. Capital One is an Equal Opportunity Employer committed to diversity and inclusion in the workplace. All qualified applicants will receive consideration for employment without regard to sex, race, color, age, national origin, religion, physical and mental disability, genetic information, marital status, sexual orientation, gender identity/assignment, citizenship, pregnancy or maternity, protected veteran status, or any other status prohibited by applicable national, federal, state or local law. Capital One promotes a drug-free workplace. Capital One will consider for employment qualified applicants with a criminal history in a manner consistent with the requirements of applicable laws regarding criminal background inquiries, including, to the extent applicable, Article 23-A of the New York Correction Law; San Francisco, California Police Code Article 49, Sections 4901-4920; New York City’s Fair Chance Act; Philadelphia’s Fair Criminal Records Screening Act; and other applicable federal, state, and local laws and regulations regarding criminal background inquiries.",4.2,"Capital One
4.2","Plano, TX",-1,10000+ Employees,1994,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD),-1
Senior Software Engineer – Data Science and Machine Learning,$97K - $155K (Glassdoor est.),"Overview:
Garmin is seeking a Senior Software Engineer – Data Science and Machine Learning to join our growing Automotive OEM team in our Chandler, AZ location. You will work on a multi-disciplinary team to extract Big Data and support the deployment of scalable, prediction engines and data mining systems to provide a superior experience in the next-gen vehicles. This is a high-impact role and will help shape the future of in-vehicle personalization.

(This is not a remote position; but it is hybrid - 3 days in office, 2 days at home, if you prefer).
Responsibilities:
Essential Functions
Collaborate with Product Management to understand the business problems and translate business problems into appropriate research questions, data gathering and statistical analysis methods.
Qualifications:",4.1,"Garmin International, Inc.
4.1","Chandler, AZ",-1,10000+ Employees,1989,Company - Public,Consumer Product Manufacturing,Manufacturing,$1 to $5 billion (USD),-1
Principal Data Scientist,$97K - $155K (Glassdoor est.),"Your Job
Your Job
The role of Data Science at Indeed is to follow the data. We log, analyze, visualize, and model terabytes of job posting data. Our Data Scientists build and implement machine learning models to make timely decisions. Each of us is a mixture of a statistician, scientist, machine learning expert, and engineer. We have a passion for building and improving Internet-scale products. We seek to understand human behavior via careful experimentation and analysis, to ""help people get jobs"".

We are a growing team of data science professionals dedicated to ensuring the success of Indeed’s SMB business unit. As a technical lead of this team, you will work directly with SMB leadership, product management, and a team of data scientists to identify and influence medium- and long-term strategy across Indeed products. You will address business needs by guiding multiple product teams in the conception and implementation of data science solutions to improve the SBM platform. You will serve as a mentor for junior scientists, providing both technical and career guidance. You have high standards and will take pride in Indeed like we do as well as push us to be better. You have delivered challenging technical solutions at scale, with a particular focus in using machine learning techniques to optimize a product platform. You are equally happy talking about deep learning and software engineering, as you are brainstorming about continuous improvement and technology career development. You love being in the mix technically while planning for longer-term investments in a data science function.",4.4,"Indeed
4.4","Austin, TX",-1,10000+ Employees,2004,Company - Private,Internet & Web Services,Information Technology,$1 to $5 billion (USD),-1
Senior Health Statistician / Data Scientist,$97K - $155K (Glassdoor est.),"Aon is looking for a Senior Health Statistician / Data Scientist to join the Health Commercial Analytics team
(Atlanta, Austin, Chicago, Denver, virtual workers will be considered (TX, FL Virtual)

As part of an industry-leading team, you will help empower results for our clients by delivering innovative and effective solutions as part of the Commercial Analytics team within Aon.
This role will involve working with large health claims datasets to support the broader health actuarial and consulting practice in assisting clients with data-driven insights.

Duties and Responsibilities: Oversee methodologies for dynamic team focused on healthcare data and innovation Build statistical and machine learning models on large health claims and risk datasets such as eligibility data, medical claims and prescription drug claims data Collaborate with data engineering team on data pipelines Translate and simplify results for presentation to clients Lead the design, development and deployment of advanced statistical models Work in collaboration with external healthcare carriers, data vendors and startups Be up-to-date on upcoming vendors and startups in the healthcare space in areas such as healthcare navigation, digital health and care delivery Manage the evaluation of healthcare costs, outcomes, utilization and major drivers Design visualization tools and reporting automation to communicate end-results to client teams
Support client teams and actuaries with data related requests
Develop validation and quality control methodologies


7+ years’ experience in data science or statistics (or PhD with 2+ years)
3+ years’ experience in health and benefits ecosystem at a c onsulting firm, broker, health insurance carrier or health analytics team Experience in data cleaning, exploratory analysis, predictive analytics
Experience designing and leading data science projects and/or teams Have detailed understanding of medical claims reporting and billing
Experience working with large health claims datasets Strong applied statistics skills such as model training and validation, causal inference methods, statistical testing Degree in actuarial science, mathematics, statistics, computer science or other related fields. (PhD/Master’s degree preferred) Proficient in R, Python, SQL Experience with Spark/Databricks and R/Python IDEs is a plus Proficient in Microsoft Excel/VBA, Word, Power Point Experience with data visualisation tools: Tableau/Power BI/plotly/shiny Good communication skills, both oral and in writing Good organization and time management skills; ability to work independently


A competitive total rewards package, continuing education & training, and tremendous potential with a growing worldwide organization.
The salary for this position is $135,000-$175,000 annually. This salary range is an estimate and the actual salary will vary based on applicant’s education, experience, skills, and abilities, as well as internal equity and alignment with market data. The salary may also be adjusted based on applicant’s geographic location


From helping clients gain access to capital after natural disasters, to creating access to health care and retirement for millions, Aon colleagues empower results for our clients, communities, and each other every day. They make a difference, work with the best, own their potential, and value one another. This is the Aon Colleague Experience, defining what it means to work at Aon and realizing our vision of empowering human and economic possibility. To learn more, visit Aon Colleague Experience .


AON) is a leading global professional services firm providing a broad range of risk, retirement and health solutions. Our 50,000 colleagues in 120 countries empower results for clients by using proprietary data and analytics to deliver insights that reduce volatility and improve performance.

By applying for a position with Aon, you understand that, should you be made an offer, it will be contingent on your undergoing and successfully completing a background check consistent with Aon's employment policies. Background checks may include some or all of the following based on the nature of the position: SSN/SIN validation, education verification, employment verification, and criminal check, search against global sanctions and government watch lists, fingerprint verification, credit check, and/or drug test. You will be notified during the hiring process which checks are required by the position.

Aon provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, creed, sex, sexual orientation, gender identity, national origin, age, disability, veteran, marital, or domestic partner status. Aon is committed to a diverse workforce and is an affirmative action employer.


Nothing in this job description restricts management's right to assign or reassign duties and responsibilities to this job at any time.

#USA_IND
#LI-HP1
#LI-REMOTE 2503479",3.9,"Aon
3.9","Atlanta, GA",-1,10000+ Employees,1892,Company - Public,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD),-1
Machine Learning Engineer – Medical Imaging,$97K - $155K (Glassdoor est.),"Machine Learning Engineer – Medical Imaging
Job Description:
The position of Machine Learning Engineer – Medical Imaging will be based out of Princeton, NJ.
Responsibilities include:
Develop novel machine learning algorithms for applications of medical imaging and medical video analysis;
Apply knowledge of relevant research domains, along with expert coding skills, to prototype and build products;
Optimize existing products for performance, reliability, and scalability;",-1,"EDDA Technology, Inc.","Princeton, NJ",-1,-1,-1,-1,-1,-1,-1,-1
Machine Learning Specialist - Software Defined Vehicle Analytics - SDV,$97K - $155K (Glassdoor est.),"Job Description

Remote: This position does not require employee to be on-site full-time to perform most effectively. The employee's role enables them to work off-site on a permanent basis.

This role requires extensive knowledge of data science model development and maintenance. Machine Learning Specialists play a significant role in our SDV team. You have curiosity and initiative for deriving insights from data and generating impactful business values working in partnership with global teams to in drive advanced analytics. As a Machine Learning Specialist on our team, you will be responsible for building and managing modeling processes, identifying data requirements, and delivering methodology and tools that are statistically grounded around our data analytics pipeline. We are looking for a highly energetic and creative thinker who is addicted to an attention to detail. If you love the idea of shared accountability and have a passion for changing the world, we are looking for you! Come and join the team that is shaping the landscape in the automotive industry!

This team is focused on providing in-vehicle, edge, and cloud-based app and service software to provide performance insights of GM's next-generation Connected Vehicle, Automated Driving (L2+) and Autonomous (L4) technologies. This role requires extensive knowledge of data science model development and maintenance. We are looking for a highly energetic and creative thinker who is addicted to an attention to detail. If you love the idea of shared accountability and have a passion for changing the world, we are looking for you! Come and join the team that is shaping the landscape in the automotive industry!
















Basic Qualifications:









Preferred Experience:






The compensation information is a good faith estimate only. It is based on what a successful Colorado applicant might be paid in accordance with Colorado law. The compensation may not be representative for positions located outside of Colorado. This position may be filled with a mid-level (the median level of salary compensation for this role is $97,980)"" OR ""This position may be filled with a Sr. level candidate (the median level of salary compensation for this role is $126,756).

FOR GM INTERNAL CANDIDATES: This role is posted at both the 7th and 6th level. The determination by HR and the Hiring Manager as to whether an offer will be lateral or promotional will be based on a candidate's relevant experience and whether the role will amount to a significant increase in level of responsibility.



Our vision is a world with Zero Crashes, Zero Emissions and Zero Congestion and we embrace the responsibility to lead the change that will make our world better, safer and more equitable for all.



We aspire to be the most inclusive company in the world. We believe we all must make a choice every day - individually and collectively - to drive meaningful change through our words, our deeds and our culture. Our Work Appropriately philosophy supports our foundation of inclusion and provides employees the flexibility to work where they can have the greatest impact on achieving our goals, dependent on role needs. Every day, we want every employee, no matter their background, ethnicity, preferences, or location, to feel they belong to one General Motors team.



The goal of the General Motors total rewards program is to support the health and well-being of you and your family. Our comprehensive compensation plan incudes, the following benefits, in addition to many others:



General Motors is committed to being a workplace that is not only free of discrimination, but one that genuinely fosters inclusion and belonging. We strongly believe that workforce diversity creates an environment in which our employees can thrive and develop better products for our customers. We understand and embrace the variety through which people gain experiences whether through professional, personal, educational, or volunteer opportunities.GM is proud to be an equal opportunity employer.

We encourage interested candidates to review the key responsibilities and qualifications and apply for any positions that match your skills and capabilities.



The policy of General Motors is to extend opportunities to qualified applicants and employees on an equal basis regardless of an individual's age, race, color, sex, religion, national origin, disability, sexual orientation, gender identity/expression or veteran status. Additionally, General Motors is committed to being an Equal Employment Opportunity (EEO) Employer and offers opportunities to all job seekers including individuals with disabilities. If you need a reasonable accommodation to assist with your job search or application for employment, email us atCareers.Accommodations@GM.com or call us at800-865-7580. In your email, please include a description of the specific accommodation you are requesting as well as the job title and requisition number of the position for which you are applying.",4.0,"General Motors
4.0",Remote,-1,10000+ Employees,1908,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD),-1
Principal Software Engineer - AI/ML Software Defined Vehicle,$97K - $155K (Glassdoor est.),"Job Description

This is a hybrid role and does not require employee to be on-site full-time to perform most effectively. The employee's role enables them to work off-site on a permanent basis. In the USA, this is an employee who lives more than 100 miles from their designated primary worksite. Employees may only work remote in the 48 continguous states.

The Automated Driving, Active Safety (ADAS) Mapping Software team develops and delivers mapping software solutions using artificial intelligence and machine learning (AI/ML) techniques to support GM's automated, hands free driving solutions for North America and beyond. We tackle the many challenges of map topology, scalability, real-time performance, verification and safety. The team is part of an Agile Release Train in the SAFe© framework.

The Role

ADAS Mapping is looking for a dynamic, experienced Principal Software Engineer to join our team of software engineers to help us build out the infrastructure and provide solutions for our AI/ML product ecosystems. Must have a strong background in team build, technology, system integration, data architecture, and agile software development methodologies.

The successful candidate will guide and prioritize the development and release of software for maps. You will work cross-functionally with multiple teams and stakeholders to frequently deliver high quality, production level code for ADAS features. You will work collaboratively with stakeholders to understand and ensure that the software meets our customers' requirements and scheduled milestones. As a principal Engineer, you will be responsible to triage, develop, demonstrate, test & release software for high impact projects that deliver on GM's vision of zero crashes, zero emissions, & zero congestion.











FOR GM INTERNAL CANDIDATES: This role is posted at the 8th level. The determination by HR and the Hiring Manager as to whether an offer will be lateral or promotional will be based on a candidate's relevant experience and whether the role will amount to a significant increase in level of responsibility.



Our vision is a world with Zero Crashes, Zero Emissions and Zero Congestion and we embrace the responsibility to lead the change that will make our world better, safer and more equitable for all.



We aspire to be the most inclusive company in the world. We believe we all must make a choice every day - individually and collectively - to drive meaningful change through our words, our deeds and our culture. Our Work Appropriately philosophy supports our foundation of inclusion and provides employees the flexibility to work where they can have the greatest impact on achieving our goals, dependent on role needs. Every day, we want every employee, no matter their background, ethnicity, preferences, or location, to feel they belong to one General Motors team.



The goal of the General Motors total rewards program is to support the health and well-being of you and your family. Our comprehensive compensation plan incudes, the following benefits, in addition to many others:



General Motors is committed to being a workplace that is not only free of discrimination, but one that genuinely fosters inclusion and belonging. We strongly believe that workforce diversity creates an environment in which our employees can thrive and develop better products for our customers. We understand and embrace the variety through which people gain experiences whether through professional, personal, educational, or volunteer opportunities.GM is proud to be an equal opportunity employer.

We encourage interested candidates to review the key responsibilities and qualifications and apply for any positions that match your skills and capabilities.



The policy of General Motors is to extend opportunities to qualified applicants and employees on an equal basis regardless of an individual's age, race, color, sex, religion, national origin, disability, sexual orientation, gender identity/expression or veteran status. Additionally, General Motors is committed to being an Equal Employment Opportunity (EEO) Employer and offers opportunities to all job seekers including individuals with disabilities. If you need a reasonable accommodation to assist with your job search or application for employment, email us atCareers.Accommodations@GM.com or call us at800-865-7580. In your email, please include a description of the specific accommodation you are requesting as well as the job title and requisition number of the position for which you are applying.",4.0,"General Motors
4.0","Austin, TX",-1,10000+ Employees,1908,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD),-1
Data Engineer I,$97K - $155K (Glassdoor est.),"Who Are We?
Taking care of our customers, our communities and each other. That’s the Travelers Promise. By honoring this commitment, we have maintained our reputation as one of the best property casualty insurers in the industry for over 160 years. Join us to discover a culture that is rooted in innovation and thrives on collaboration. Imagine loving what you do and where you do it.
Compensation Overview
The annual base salary range provided for this position is a nationwide market range and represents a broad range of salaries for this role across the country. The actual salary for this position will be determined by a number of factors, including the scope, complexity and location of the role; the skills, education, training, credentials and experience of the candidate; and other conditions of employment. As part of our comprehensive compensation and benefits program, employees are also eligible for performance-based cash incentive awards.
$98,600.00 - $162,600.00
1
Travelers Data Engineering team constructs pipelines that contextualize and provide easy access to data by the entire enterprise. As a Data Engineer, you will play a key role in growing and transforming our analytics landscape. In addition to your strong analytical mind, you will bring your inquisitive attitude and ability to translate the stories found in data. You will leverage your ability to design, build and deploy data solutions that capture, explore, transform, and utilize data to support Artificial Intelligence, Machine Learning and business intelligence/insights.

This position may be based 100% remotely or in one of our offices. #LI-Remote




0",3.9,"The Travelers Companies, Inc.
3.9","Hartford, CT",-1,10000+ Employees,1853,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),-1
Data Scientist I,$97K - $155K (Glassdoor est.),"YOUR LIFE'S MISSION: POSSIBLE
You have goals, dreams, hobbies and things you’re passionate about.

What’s Important to You Is Important to Us
We’re looking for people who not only want to do meaningful, challenging work, keep their skills sharp and move ahead, but who also take time for the things that matter to them—friends, family and passions. And we're looking for team members who are passionate about our mission—making a difference in military members' and their families' lives. Together, we can make it happen.

Don’t take our word for it.",4.1,"Navy Federal Credit Union
4.1","Vienna, VA",-1,10000+ Employees,1933,Self-employed,Banking & Lending,Financial Services,Unknown / Non-Applicable,-1
AI Data Scientist & Team Lead,$97K - $155K (Glassdoor est.),"Who Are We?
Taking care of our customers, our communities and each other. That’s the Travelers Promise. By honoring this commitment, we have maintained our reputation as one of the best property casualty insurers in the industry for over 160 years. Join us to discover a culture that is rooted in innovation and thrives on collaboration. Imagine loving what you do and where you do it.
Compensation Overview
The annual base salary range provided for this position is a nationwide market range and represents a broad range of salaries for this role across the country. The actual salary for this position will be determined by a number of factors, including the scope, complexity and location of the role; the skills, education, training, credentials and experience of the candidate; and other conditions of employment. As part of our comprehensive compensation and benefits program, employees are also eligible for performance-based cash incentive awards.
$135,200.00 - $223,100.00
1
The use of artificial intelligence (AI) in property casualty insurance is exploding. Pictures are being used to assess damages. Virtual assistants are being used to talk to customers. Spoken words are being translated into text for use in sentiment analysis and prediction. Intelligent document processing is being used to capture, extract, and process data from a variety of document formats. Travelers is at the cutting edge of AI in insurance. We are looking for someone to be our agile product owner for a team focused on applying AI methodologies to insurance claims handling. We need someone who can be hands-on in building AI models while also possessing strong leadership and management skills to run an agile team focused on delivering business value. Come join a team that will be transforming the way we interact with and take care of our customers!




0",3.9,"The Travelers Companies, Inc.
3.9","Hartford, CT",-1,10000+ Employees,1853,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),-1
Jr. Data Scientist (Remote Eligible),$97K - $155K (Glassdoor est.),"Location
HQ
3500 S Clark Street
Arlington, VA 22202 USA
Employment Type
Full-Time
Experience Level",3.2,"Lidl US
3.2","Arlington, VA",-1,5001 to 10000 Employees,1973,Company - Private,Grocery Stores,Retail & Wholesale,Unknown / Non-Applicable,-1
Senior Data Scientist (Local or Remote),$97K - $155K (Glassdoor est.),"(Local or Remote)

ROLE OVERVIEW
We're seeking a talented Senior Data Scientist to join our growing team. You'll play a critical role on our Data Science team and be instrumental in driving long-term growth for the company. The ideal candidate has strong analytical and problem-solving abilities and is excited by the opportunity to navigate large amounts of data to identify patterns, distill insights, and solve complex problems. This is a highly visible role with significant autonomy and the opportunity to work across several teams.
RESPONSIBILITIES",4.8,"Point Digital Finance, Inc.
4.8","Palo Alto, CA",-1,201 to 500 Employees,2015,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable,-1
"Data Scientist, Marketing & Online (Remote)",$97K - $155K (Glassdoor est.),"Position Purpose:
The Data Scientist is responsible for supporting data science initiatives that drive business profitability, increased efficiencies and improved customer experience. This role applies industry-leading analytical methodologies for working with large datasets to extract meaningful business insight and creatively solve business problems. Data Scientists are also responsible for ensuring that developed codes are documented into a library of reusable algorithms. Based on the specific data science team, this role would need to be knowledgeable in one or more data science specializations, such as optimization, computer vision, recommendation, search or NLP.


As a Data Scientist, you will apply advanced analytics methods and algorithms for identifying trends and providing business solutions. This role is expected to present insights and recommendations to non-technical audiences and explain the benefits and impacts of the recommended solutions. In addition, Data Scientists collaborate with business partners and cross-functional teams, requiring effective communication skills, building relationships, and focus on understanding the overall business area being supported.




This position typically reports to Manager or above
This position has 0 Direct Reports



1. Located in a comfortable indoor area. Any unpleasant conditions would be infrequent and not objectionable.

Typically requires overnight travel less than 10% of the time.
























$160,000 - $90,000",3.8,"The Home Depot
3.8","Atlanta, GA",-1,10000+ Employees,1978,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale,$10+ billion (USD),-1
